8.176433,45.631424,71.35,0.27,15.74,2.21,0.04,0.57,1.29,3.84,4.59,0.11,648.7,191.2,122.3,1.56,215,45.2,54.8,105.4,61.4
8.168759,45.652154,71.7,0.27,15.47,2.06,0.04,0.47,0.92,3.41,5.54,0.11,573.1,229.3,95.8,2.39,170.5,41.6,47.5,92.1,46.3
8.174639,45.634635,69.19,0.45,15.47,3.01,0.05,0.93,2.32,3.72,4.72,0.15,537.5,171.9,135.1,1.27,236.3,34.7,52.7,108.5,46.1
8.175302,45.635479,70.75,0.22,16.16,1.83,0.04,0.35,0.93,3.07,6.33,0.31,395.2,252.6,93.5,2.7,137.4,32.6,25.1,49.7,25.3
8.172002,45.636574,71.85,0.33,15.27,2.57,0.05,0.59,0.98,3.02,5.2,0.16,585.5,229.1,87.5,2.62,196,35.7,45.2,95.1,42.4
8.170843,45.637971,71.15,0.21,15.8,1.67,0.03,0.39,1.34,3.55,5.65,0.21,569,217.6,119.5,1.82,130.4,38.5,32.2,63.5,29.3
8.171014,45.638234,71.06,0.23,16.39,1.79,0.03,0.38,1.26,3.48,5.25,0.13,496,200.8,107.8,1.86,148.1,26.3,35.3,68.3,32.1
8.171472,45.638425,70.55,0.4,15.67,2.84,0.04,0.81,1.6,3.42,4.54,0.14,636.5,234.7,118.6,1.98,231.8,41.1,44.6,105.3,44.5
8.173365,45.636117,71.06,0.35,15.27,2.47,0.04,0.7,1.69,3.49,4.8,0.13,554,185,121.3,1.53,207.1,43.7,66.4,125.3,56.2
8.173547,45.633283,71.72,0.2,16.15,1.54,0.03,0.34,0.71,3.21,5.9,0.2,295,226.3,81.9,2.76,92.7,25.8,24.7,44,20.9
8.173547,45.633283,71.07,0.25,16.72,1.97,0.03,0.45,0.88,3.22,5.26,0.16,547.5,243.5,87,2.8,163.5,33.7,28.8,61.4,28.7
8.193655,45.654612,72.96,0.17,15.6,1.8,0.04,0.28,0.58,3.65,4.84,0.07,268,219.8,73.3,3,133.4,53.3,34.6,74.4,37.7
8.198249,45.629451,72.91,0.15,15.27,1.7,0.04,1.01,0.4,3.44,5.02,0.06,295,253.7,45.6,5.56,123.3,56.8,29.9,69.9,33.3
8.182607,45.645794,73.79,0.2,14.29,1.59,0.03,0.35,1.12,3.27,5.28,0.08,442,191.5,100.6,1.9,136.6,31.2,34.1,67.5,33.6
8.178469,45.641537,71.86,0.31,15.37,2.38,0.05,0.5,1.32,3.38,4.69,0.14,514,186.7,101.1,1.85,244.1,37.3,50.9,107.8,50.5
8.201455,45.633127,72.22,0.18,16.38,1.79,0.04,0.46,0.41,3.39,5.08,0.05,425.4,263.8,60.3,4.37,130.9,41.7,47.8,62.3,41.5
8.188235,45.650397,72.14,0.23,15.37,2.11,0.04,0.32,1.11,3.59,5.01,0.08,398.1,220.4,81.7,2.7,175.8,54.5,45.1,93.5,50.3
8.188235,45.650397,73.22,0.21,14.5,2.04,0.04,0.3,1.22,3.39,5,0.07,432,216,83,2.6,144,45,52,84,47
8.194612,45.642131,72.65,0.16,16.21,1.82,0.04,0.41,0.36,3.3,4.99,0.06,361,245,44,5.57,129,41,38,75,38
8.180633,45.634805,71.67,0.19,16.64,1.64,0.02,0.38,0.43,3.94,4.94,0.14,250,240,54,4.44,113,30,35,65,35
8.189008,45.635073,71.52,0.31,15.22,2.42,0.05,0.58,1.15,3.46,5.17,0.11,608,215,110,1.95,216,47,67,120,58
8.189184,45.634384,72.65,0.22,15.81,1.9,0.05,0.32,0.43,3.6,4.96,0.06,379,255,57,4.47,165,35,40,96,44
8.189724,45.633641,72.83,0.2,15.64,1.78,0.04,0.28,0.66,3.58,4.94,0.06,284,205.2,55.3,3.71,141.6,56.7,36.2,79.7,41
8.190216,45.633195,72.42,0.27,15.13,2.3,0.05,0.47,0.96,3.4,4.9,0.09,357,230,71,3.24,190,49,39,84,46
8.189369,45.591568,73.59,0.19,15.24,1.98,0.03,0.72,0.3,3.47,4.43,0.06,232,192.6,44.6,4.32,111.3,48.9,32.1,69.1,36.8
8.196889,45.62857,72.85,0.21,14.91,1.94,0.04,0.58,0.56,3.5,5.32,0.08,326,250,47,5.32,143,52,35,80,40
8.196889,45.62857,71.8,0.2,16.18,1.85,0.04,0.48,0.47,3.6,5.3,0.07,285,271,47,5.77,116,47,42,80,44
8.198146,45.629393,72.87,0.17,14.97,1.84,0.05,0.88,0.57,3.46,5.13,0.05,280,245,41,5.98,131,61,31,72,40
8.178722,45.641551,71.45,0.29,16.21,2.37,0.05,0.43,1.12,3.6,4.38,0.11,517.4,199.8,97,2.06,251.7,50.9,49.9,99,51.1
8.183027,45.63715,71.91,0.25,16.23,2.07,0.04,0.36,0.54,3.6,4.87,0.12,585.7,230.4,84.6,2.72,185.1,33.8,50.3,83.7,50
8.185671,45.635493,72.3,0.21,16.29,1.74,0.05,0.29,0.37,3.64,5.02,0.1,453.2,269.4,67.2,4.01,180.8,42.4,30.6,75.1,35.1
8.1892,45.63436,71.54,0.28,15.6,2.35,0.05,0.64,1.04,3.6,4.8,0.1,623.8,206.1,112.7,1.83,213.2,44,51.1,109.2,57.7
8.190097,45.651748,72.76,0.17,15.64,1.86,0.04,0.34,0.59,3.72,4.81,0.06,369.6,209.3,83,2.52,140.1,49.4,38.8,94.4,51.9
8.198428,45.635179,73.48,0.18,14.95,1.88,0.04,1.19,0.33,3.21,4.68,0.07,302,209.1,54.3,3.85,171.5,48.5,40.8,74.6,37
8.196745,45.637101,72.92,0.15,15.67,1.66,0.04,0.34,0.54,3.56,5.07,0.05,354.6,260.4,59.2,4.4,129.9,55.5,43.9,78.5,47.6
8.192836,45.639862,72.11,0.15,16.13,1.71,0.04,0.4,0.65,3.77,4.99,0.06,399.2,224.6,71.9,3.12,141.4,51.7,43.6,78.6,44.3
8.191738,45.639965,73.67,0.15,15.05,1.56,0.04,0.25,0.81,3.66,4.75,0.07,294.5,242.1,65.2,3.71,128.7,46.9,25,76.9,30.4
8.190233,45.64011,74.09,0.15,15.13,1.51,0.04,0.23,0.34,3.43,5.01,0.06,281.9,270.8,46.9,5.77,127.5,59.6,43.7,93.5,58.3
8.190757,45.640292,73.21,0.16,15.44,1.62,0.04,0.27,0.76,3.59,4.85,0.07,343.6,232.3,71.1,3.27,140.2,52.7,46.6,85.2,45.1
8.188466,45.640664,72.74,0.2,15.43,2.03,0.05,0.31,0.82,3.74,4.6,0.08,430.3,216.8,85.5,2.54,186.9,57.8,48.1,97.9,52
8.198053,45.628855,72.69,0.14,16,1.49,0.03,0.45,0.39,3.76,5,0.06,314.1,256.9,56.3,4.56,135.1,40.8,29.5,55.2,34.3
8.197233,45.628344,73.79,0.13,15.04,1.29,0.03,0.24,0.52,3.6,5.31,0.06,233.3,263.1,45.8,5.74,115.4,48.9,29.1,66.4,27.9
8.192082,45.631431,71.81,0.3,15.94,2.37,0.04,1.05,0.6,3.39,4.42,0.08,494.1,190.7,81.7,2.33,211.8,35.5,36.9,71.6,43.2
8.192064,45.632551,73.83,0.19,14.83,1.79,0.04,0.38,0.7,3.42,4.76,0.06,388.4,219,69.8,3.14,170.7,55.1,46.9,79.4,48.7
8.188531,45.667312,72.85,0.16,15.95,1.75,0.04,0.32,0.51,3.65,4.71,0.07,496.7,225.2,84.4,2.67,135,55.7,46.7,86.9,55.9
8.194525,45.642136,72.62,0.15,15.99,1.75,0.03,0.88,0.18,3.47,4.89,0.04,442.8,234.3,55.5,4.22,133.2,33.1,24.6,48.7,25.2
8.205882,45.621892,73.05,0.15,15.23,1.86,0.04,1.02,0.39,3.69,4.51,0.06,289,205.5,63,3.26,143.3,32.9,26.7,64.5,25.8
8.20827,45.620584,73.34,0.13,15.08,1.46,0.03,0.5,0.44,3.64,5.34,0.04,342.9,223.6,42,5.32,128.5,41.6,26.8,55.6,32
8.208155,45.620101,73.72,0.15,14.99,1.73,0.04,0.68,0.58,3.31,4.74,0.06,330.7,199.4,53.7,3.71,136.7,58,39.2,64.6,40.7
